fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,ZIP
36047095000,2533.6,1399.5,1195.2,14.6,11236
36047018400,2322.0,1174.3,1068.6,9.0,11214
36047018400,2322.0,1174.3,1068.6,9.0,11228
36047024800,2111.2,995.5,903.0,9.29,11204
36081091601,2905.1,1219.0,1127.2,7.53,11697
36081011900,1344.2,976.1,900.1,7.79,11105
36081010100,2202.7,1489.8,1364.1,8.44,11105
36081094203,5781.9,3176.4,2853.8,10.16,11692
36081094203,5781.9,3176.4,2853.8,10.16,11693
36081055500,1855.4,1132.5,1022.4,9.72,11385
36061009000,7336.2,5278.6,5123.0,2.95,10017
36005028600,925.7,582.2,522.0,10.34,10461
36047026100,4228.3,2754.7,2452.1,10.98,11206
36047026100,4228.3,2754.7,2452.1,10.98,11216
36047026100,4228.3,2754.7,2452.1,10.98,11221
36047030500,6134.6,4424.3,4114.5,7.0,11238
36047027900,3176.4,1853.1,1609.5,13.15,11221
36047054700,3561.7,2061.3,1904.1,7.63,11211
36047054700,3561.7,2061.3,1904.1,7.63,11249
36085014604,5863.0,3046.3,2787.7,8.49,10308
36085014604,5863.0,3046.3,2787.7,8.49,10312
36085013204,4056.0,2282.0,2069.1,9.33,10306
36081008600,2362.6,1468.2,1237.7,15.7,11417
36005004100,4072.1,1772.8,1421.7,19.8,10454
36061004500,836.8,531.2,504.2,5.08,10012
36061004500,836.8,531.2,504.2,5.08,10013
36061030900,8693.7,4835.1,4134.2,14.5,10463
36005026300,4932.6,2245.8,1927.2,14.19,10468
36005014500,5534.1,2736.5,2042.8,25.35,10456
36061018700,7354.2,4974.2,4677.1,5.97,10025
36047000501,4111.1,2421.0,2234.1,7.72,11201
36047001800,1857.5,537.6,468.0,12.95,11220
36047001800,1857.5,537.6,468.0,12.95,11232
36047099200,1931.5,1135.4,1007.7,11.25,11236
36047114600,2528.4,1232.5,1038.1,15.77,11207
36047073400,1828.7,966.0,867.1,10.24,11210
36047004600,1035.1,522.7,483.3,7.54,11209
36081129104,3807.1,2133.9,1975.3,7.43,11364
36081006300,4961.0,3810.6,3510.6,7.87,11102
36081006300,4961.0,3810.6,3510.6,7.87,11103
