fips,name
14000US36005000100,"Census Tract 1, Bronx, NY"
14000US36005000200,"Census Tract 2, Bronx, NY"
14000US36005000400,"Census Tract 4, Bronx, NY"
14000US36005001600,"Census Tract 16, Bronx, NY"
14000US36005001900,"Census Tract 19, Bronx, NY"
14000US36005002000,"Census Tract 20, Bronx, NY"
14000US36005002300,"Census Tract 23, Bronx, NY"
14000US36005002400,"Census Tract 24, Bronx, NY"
14000US36005002500,"Census Tract 25, Bronx, NY"
14000US36005002701,"Census Tract 27.01, Bronx, NY"
14000US36005002702,"Census Tract 27.02, Bronx, NY"
14000US36005002800,"Census Tract 28, Bronx, NY"
14000US36005003100,"Census Tract 31, Bronx, NY"
14000US36005003300,"Census Tract 33, Bronx, NY"
14000US36005003500,"Census Tract 35, Bronx, NY"
14000US36005003700,"Census Tract 37, Bronx, NY"
14000US36005003800,"Census Tract 38, Bronx, NY"
14000US36005003900,"Census Tract 39, Bronx, NY"
14000US36005004001,"Census Tract 40.01, Bronx, NY"
14000US36005004100,"Census Tract 41, Bronx, NY"
14000US36005004200,"Census Tract 42, Bronx, NY"
14000US36005004300,"Census Tract 43, Bronx, NY"
14000US36005004400,"Census Tract 44, Bronx, NY"
14000US36005004600,"Census Tract 46, Bronx, NY"
14000US36005004800,"Census Tract 48, Bronx, NY"
14000US36005005001,"Census Tract 50.01, Bronx, NY"
14000US36005005002,"Census Tract 50.02, Bronx, NY"
14000US36005005100,"Census Tract 51, Bronx, NY"
14000US36005005200,"Census Tract 52, Bronx, NY"
14000US36005005300,"Census Tract 53, Bronx, NY"
14000US36005005400,"Census Tract 54, Bronx, NY"
14000US36005005600,"Census Tract 56, Bronx, NY"
14000US36005005902,"Census Tract 59.02, Bronx, NY"
14000US36005006000,"Census Tract 60, Bronx, NY"
14000US36005006100,"Census Tract 61, Bronx, NY"
14000US36005006200,"Census Tract 62, Bronx, NY"
14000US36005006300,"Census Tract 63, Bronx, NY"
14000US36005006400,"Census Tract 64, Bronx, NY"
14000US36005006500,"Census Tract 65, Bronx, NY"
14000US36005006700,"Census Tract 67, Bronx, NY"
14000US36005006800,"Census Tract 68, Bronx, NY"
14000US36005006900,"Census Tract 69, Bronx, NY"
14000US36005007000,"Census Tract 70, Bronx, NY"
14000US36005007100,"Census Tract 71, Bronx, NY"
14000US36005007200,"Census Tract 72, Bronx, NY"
14000US36005007300,"Census Tract 73, Bronx, NY"
14000US36005007400,"Census Tract 74, Bronx, NY"
14000US36005007500,"Census Tract 75, Bronx, NY"
14000US36005007600,"Census Tract 76, Bronx, NY"
14000US36005007700,"Census Tract 77, Bronx, NY"
14000US36005007800,"Census Tract 78, Bronx, NY"
14000US36005007900,"Census Tract 79, Bronx, NY"
14000US36005008300,"Census Tract 83, Bronx, NY"
14000US36005008400,"Census Tract 84, Bronx, NY"
14000US36005008500,"Census Tract 85, Bronx, NY"
14000US36005008600,"Census Tract 86, Bronx, NY"
14000US36005008700,"Census Tract 87, Bronx, NY"
14000US36005008900,"Census Tract 89, Bronx, NY"
14000US36005009000,"Census Tract 90, Bronx, NY"
14000US36005009200,"Census Tract 92, Bronx, NY"
14000US36005009300,"Census Tract 93, Bronx, NY"
14000US36005009600,"Census Tract 96, Bronx, NY"
14000US36005009800,"Census Tract 98, Bronx, NY"
14000US36005011000,"Census Tract 110, Bronx, NY"
14000US36005011502,"Census Tract 115.02, Bronx, NY"
14000US36005011700,"Census Tract 117, Bronx, NY"
14000US36005011800,"Census Tract 118, Bronx, NY"
14000US36005011900,"Census Tract 119, Bronx, NY"
14000US36005012101,"Census Tract 121.01, Bronx, NY"
14000US36005012102,"Census Tract 121.02, Bronx, NY"
14000US36005012300,"Census Tract 123, Bronx, NY"
